auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
NADE,2014,WHITE,MERCEDES,ML350,4SUV,A,46189.0,39,1,32500,2017-01-04
NASH,2009,BLACK,MERCEDES,GL350,4SUV,A,80912.0,18,1,12400,2017-01-04
CADE,2014,GRAY,MERCEDES,CLA250C,4DSN,A,48574.0,36,2,21000,2017-01-04
CADE,2012,BLACK,MERCEDES,GLK350W2,4SUV,A,59233.0,37,1,17500,2017-01-04
CADE,2010,SILVER,MERCEDES,C300,4DSN,A,73000.0,35,1,10000,2017-01-04
CADE,2014,WHITE,MERCEDES,GLK350W2,4SUV,A,32696.0,35,3,22000,2017-01-04
CADE,2004,BLACK,MERCEDES,SL55 AMG,2DCV,A,70791.0,42,1,15500,2017-01-04
CADE,2010,BLACK,MERCEDES,ML350,4CUV,A,65484.0,32,1,14500,2017-01-04
CADE,2012,WHITE,MERCEDES,GL450,4SUV,A,69545.0,35,1,23750,2017-01-04
CADE,2006,GRAY,MERCEDES,E350W,4DSN,A,83067.0,32,1,5250,2017-01-04
BCAA,2014,BLACK,MERCEDES,C250,4DSN,A,35867.0,40,1,18500,2017-01-04
BCAA,2006,TAN,MERCEDES,ML350,4CUV,A,96630.0,36,2,7500,2017-01-04
GOAA,2010,TAN,MERCEDES,C300,4DSN,A,32809.0,47,1,13900,2017-01-04
BCAA,2014,PAL SIL,MERCEDES,ML350,4SUV,A,28954.0,36,1,31250,2017-01-04
BCAA,2014,BLACK,MERCEDES,GL450,SUV,A,37107.0,37,1,43000,2017-01-04
BCAA,2014,MNT GRY,MERCEDES,CLA250C,4DSN,A,10127.0,43,1,24500,2017-01-04
BCAA,2013,BLACK,MERCEDES,SL65 AMG,2DCP,A,15348.0,38,1,85000,2017-01-04
BCAA,2014,NIT BLK,MERCEDES,CLA250C,4DSN,A,27696.0,39,1,23250,2017-01-04
BCAA,2014,PLR WHT,MERCEDES,E350A,2DCV,A,55417.0,35,1,28500,2017-01-04
BCAA,2014,NIT BLK,MERCEDES,CLA250C,4DSN,A,25740.0,41,1,23250,2017-01-04
BCAA,2015,BLACK,MERCEDES,E400,4DSN,A,21037.0,36,1,37000,2017-01-04
BCAA,2014,ARC WHT,MERCEDES,CLA250C,4DSN,A,39357.0,34,3,19500,2017-01-04
CADE,2010,WHITE,MERCEDES,E55,4DSN,A,44190.0,45,2,17200,2017-01-04
DALA,2011,BLACK,MERCEDES,GL450,SUV,A,67053.0,21,1,19500,2017-01-04
SAAA,2013,WHITE,MERCEDES,E350W4,4DSN,A,88344.0,44,1,15300,2017-01-04
DALA,2010,WHITE,MERCEDES,ML350,4CUV,A,139271.0,39,1,9300,2017-01-04
SAAA,2010,BLACK,MERCEDES,GL450,SUV,A,130629.0,36,1,9700,2017-01-04
SAAA,2015,PURPLE,MERCEDES,S550,4DSN,A,25698.0,45,6,61600,2017-01-04
CADE,2005,BLACK,MERCEDES,E500W,4DSN,A,150702.0,13,1,1300,2017-01-04
SAAA,2008,WHITE,MERCEDES,C300,4DSN,A,112439.0,28,1,6000,2017-01-04
NADE,2014,SILVER,MERCEDES,S550,4DSN,A,44514.0,42,1,51250,2017-01-04
NADE,2007,BLACK,MERCEDES,S550,4DSN,A,154672.0,24,1,8200,2017-01-04
DALA,2013,WHITE,MERCEDES,C250,2DCP,A,64818.0,32,1,15800,2017-01-04
NADE,2009,BLACK,MERCEDES,GL350,4SUV,A,94366.0,25,1,13800,2017-01-04
NASH,2014,BLK,MERCEDES,E350W4,4DSN,A,17869.0,29,1,26250,2017-01-04
NASH,2014,BLK,MERCEDES,C300,4DSN,A,27161.0,31,1,18250,2017-01-04
NASH,2014,MARS RED,MERCEDES,C300,4DSN,A,29463.0,26,1,17000,2017-01-04
NASH,2013,PLR WHT,MERCEDES,C350,4DSN,A,40870.0,29,1,17750,2017-01-04
NASH,2014,PLR WHT,MERCEDES,GL450,SUV,A,55160.0,42,2,35250,2017-01-04
NASH,2013,LUN BLU,MERCEDES,C250,4DSN,A,60965.0,39,1,13500,2017-01-04
NASH,2014,BLK,MERCEDES,GL450,SUV,A,62283.0,32,1,33000,2017-01-04
NADE,2012,WHITE,MERCEDES,ML350,4SUV,A,65237.0,29,1,23200,2017-01-04
NADE,2010,BLACK,MERCEDES,C300,4DSN,A,84921.0,22,3,6200,2017-01-04
NADE,2012,BLACK,MERCEDES,GLK350W4,4SUV,A,119123.0,35,7,9900,2017-01-04
AAA,2010,GREY,MERCEDES,E350W,4DSN,A,73585.0,41,2,13650,2017-01-04
AAA,2011,BLUE,MERCEDES,E350A,2DCV,A,53243.0,46,1,21200,2017-01-04
AAA,2012,BLACK,MERCEDES,GL450,4SUV,A,84809.0,35,1,19000,2017-01-04
AAA,2015,BLACK,MERCEDES,3500,VAN,A,4076.0,44,1,77500,2017-01-04
AAA,2010,WHITE,MERCEDES,GLK350W2,SUV,A,65403.0,35,6,15400,2017-01-04
SVAA,2003,GOLD,MERCEDES,E320W,4DSN,A,71739.0,34,1,5100,2017-01-04
AAA,2011,GREY,MERCEDES,E350BTC,4DSN,A,57668.0,40,1,16400,2017-01-04
AAA,2015,GRAY,MERCEDES,G63,SUV,A,21014.0,46,1,99500,2017-01-04
